smi,id,qm,nmr,type
C(Cl)Cl,0,25.925,5.28,H
C(Cl)(Cl)Cl,0,23.6836,7.21,H
CO,0,28.0436,3.5,H
CN(=O)=O,0,27.3401,4.22,H
CCCl,0,30.3361,1.5,H
CCCl,1,27.9023,3.6,H
C(C)(Cl)(Cl)Cl,1,28.8331,2.7,H
CCN(=O)=O,0,30.2511,1.55,H
CCN(=O)=O,1,27.1208,4.4,H
[SiH](C)(C)Cl,2,31.1958,0.54,H
C=C(Cl)Cl,0,25.6588,5.5,H
C(=C\Cl)/Cl,0,24.8069,6.36,H
C(=C(Cl)Cl)Cl,0,24.718,6.49,H
C(=O)C,0,21.4064,9.69,H
C(=O)C,2,29.2463,2.12,H
O1CC1,1,29.1632,2.54,H
S(=O)(C)C,2,29.2333,2.5,H
S1CC1,1,29.2471,2.27,H
C(=O)(Cl)C,3,28.7371,2.66,H
C(#N)C,2,29.6413,1.94,H
C1CC1,0,31.5274,0.22,H
C(C)(C)Cl,0,27.2443,4.11,H
C(C)(C)Cl,1,30.2806,1.51,H
C=C(C)Cl,0,26.2176,5.12,H
C=C(C)Cl,2,29.5147,2.13,H
C=CCCl,1,25.161,5.9,H
C=CCCl,2,27.2297,3.99,H
C(=O)(C)C,2,29.3142,2.11,H
C1COC1,0,29.2337,2.72,H
C1COC1,1,26.7083,4.73,H
C(=O)(C)OC,2,29.3193,2,H
C(=O)(C)OC,4,27.7821,3.65,H
C(=O)N(C)C,0,23.4106,7.89,H
C(=O)N(C)C,3,29.5048,2.98,H
C(=O)N(C)C,4,28.9856,2.81,H
C(=O)(C)C(Cl)(Cl),2,28.908,2.64,H
CCC#N,1,29.1799,2.34,H
CCC#N,0,30.476,1.25,H
C[C@@H](C#N)Cl,1,29.8635,1.85,H
C[C@@H](C#N)Cl,0,26.6727,4.53,H
c1ccon1,0,22.9928,8.24,H
c1ccon1,1,24.795,6.32,H
c1ccon1,2,22.753,8.49,H
C(=C)(C)C,1,26.7074,4.6,H
C(=C)(C)C,2,29.8955,1.72,H
C1CCC1,0,29.6155,1.96,H
C(#CC)C,0,29.8797,1.7,H
C1CCC1,1,25.0854,5.95,H
C1CCC1,0,29.0391,2.57,H
CC(C)(C)Cl,2,30.0337,1.61,H
CC(C)(C)N(=O)=O,0,30.2847,1.61,H
C(=CCl)(C)C,1,25.4526,5.79,H
C(=CCl)(C)C,4,29.7277,1.8,H
C(=CCl)(C)C,3,29.7901,1.8,H
C1OCCC1,0,27.6831,3.71,H
C1OCCC1,3,29.6137,1.81,H
C(=O)(C)N(C)C,5,28.9205,2.83,H
C(=O)(C)N(C)C,4,28.2597,3.01,H
C(=O)(C)N(C)C,2,29.4999,1.98,H
C1CC(=O)C1,1,28.3501,3.08,H
C1CC(=O)C1,0,29.7238,2.03,H
C1COC(=O)C1,5,29.7238,2.31,H
C1COC(=O)C1,0,29.5275,2.08,H
C1COC(=O)C1,1,27.4708,4.38,H
CC(C)C#N,1,28.7717,2.7,H
CC(C)C#N,2,30.5385,1.3,H
c1ccco1,0,23.8069,7.4,H
c1ccco1,1,24.7759,6.3,H
C(=O)(C)C#C,2,29.0195,2.38,H
C(=O)(C)C#C,4,28.158,3.4,H
c1cccs1,0,23.8263,7.1,H
c1cccs1,1,24.0715,6.9,H
C1(=C(C(=O)OC1)Cl)Cl,5,26.6359,4.9,H
c1scc(C)n1,0,22.6113,8.72,H
c1scc(C)n1,2,24.2949,6.92,H
c1scc(C)n1,4,29.1752,2.5,H
c1ncccn1,0,22.1539,9.21,H
c1ncccn1,2,22.4596,8.74,H
c1ncccn1,3,23.7723,7.32,H
c1cnccn1,0,22.61,8.48,H
n1ccccn1,2,23.5785,7.5,H
n1ccccn1,1,21.9923,9.24,H
C1CCCC1,0,30.3149,1.5,H
C(=CC)(C)C,3,30.1523,1.58,H
C(=CC)(C)C,1,25.9673,5.12,H
C(=CC)(C)C,2,30.2627,1.48,H
C(=CC)(C)C,4,29.7333,1.58,H
C1CC=CC1,0,30.0296,1.85,H
C1CC=CC1,1,29.2627,2.29,H
C1CC=CC1,2,25.4126,5.66,H
CC(C)(C)OC,5,28.4382,3.11,H
CC(C)(C)OC,0,30.9662,1.12,H
C1CCOCC1,0,30.2064,1.59,H
C1CCOCC1,1,30.2405,1.59,H
C1CCOCC1,2,27.8671,3.56,H
C1CCN(C1)C,5,29.0404,2.34,H
C1CCN(C1)C,4,28.8622,2.48,H
C1CCN(C1)C,1,29.7845,1.78,H
C1CCC(=O)C1,0,29.6399,2.02,H
CC(C)(C)C#N,0,30.2689,1.39,H
C1CC=CC1=O,3,25.2235,6.09,H
C1CC=CC1=O,2,23.2087,7.72,H
C1CC=CC1=O,1,28.8707,2.69,H
C1CC=CC1=O,0,29.3995,2.22,H
c1cccn1C,5,27.9225,3.62,H
c1cccn1C,0,24.6108,6.57,H
c1cccn1C,1,25.2207,6.11,H
c1ccc(o1)C=O,2,23.917,7.11,H
c1ccc(o1)C=O,1,24.6239,6.52,H
c1ccc(o1)C=O,0,23.6008,7.61,H
c1ccc(o1)C=O,5,21.8146,9.63,H
c1ccccn1,0,22.6265,8.51,H
c1ccccn1,1,23.8051,7.14,H
c1ccccn1,2,23.3803,7.55,H
C=CC(C)(C)C,0,26.4795,4.78,H
C=CC(C)(C)C,1,25.1609,5.8,H
C=CC(C)(C)C,3,30.6854,1,H
C1CCCCC1,0,30.0865,1.42,H
CC(C)(C)C#C,5,29.4275,1.89,H
CC(C)(C)C#C,2,30.3895,1.21,H
C1CCC=CC1,3,25.4812,5.58,H
C1CCC=CC1,2,29.5846,1.97,H
C1CCC=CC1,0,29.9444,1.62,H
c1ccccc1,0,23.7197,7.23,H
C1CCN(CC1)C,6,28.8777,2.1,H
C1CCN(CC1)C,2,28.7871,2.23,H
C1CCN(CC1)C,1,29.8348,1.42,H
C1CCN(CC1)C,0,29.5084,1.42,H
C1CCC(=O)CC1,2,29.1906,2.25,H
C1CCC(=O)CC1,1,29.6459,1.79,H
C1CCC(=O)CC1,0,29.6459,1.79,H
C1CC(=O)C=CC1,4,25.4464,5.88,H
C1CC(=O)C=CC1,5,23.9814,6.91,H
C1CC(=O)C=CC1,6,29.3769,2.1,H
C1CC(=O)C=CC1,0,29.6651,2.1,H
C1CC(=O)C=CC1,1,29.2621,2.1,H
c1ccc(cc1)F,2,23.7342,7,H
c1ccc(cc1)F,1,24.0348,7,H
c1ccc(cc1)F,0,23.9722,7,H
c1ccc(cc1)Cl,2,23.769,7.22,H
c1ccc(cc1)Cl,1,23.7626,7.22,H
c1ccc(cc1)Cl,0,23.8617,7.22,H
c1ccc(cc1)N(=O)=O,2,22.7059,8.2,H
c1ccc(cc1)N(=O)=O,1,23.315,7.57,H
c1ccc(cc1)N(=O)=O,0,23.5806,7.57,H
C1=CC(=O)C=CC1=O,0,24.5667,6.79,H
c1c(cccc1)C,6,29.3399,2.29,H
c1c(cccc1)C,0,23.8848,7.04,H
c1c(cccc1)C,5,23.8681,7.04,H
c1c(cccc1)C,4,24.001,7.04,H
C1=C[C@H]2C[C@@H]1C=C2,3,29.5427,1.96,H
C1=C[C@H]2C[C@@H]1C=C2,2,27.9077,3.52,H
C1=C[C@H]2C[C@@H]1C=C2,0,24.2757,6.69,H
c1c(cccc1)N(C)C,0,24.4869,6.56,H
c1c(cccc1)N(C)C,5,23.929,7.1,H
c1c(cccc1)N(C)C,4,24.5903,6.5,H
c1c(cccc1)N(C)C,7,28.8194,2.85,H
c12c(cccc1)cc[nH]2,7,24.0873,6.76,H
c12c(cccc1)cc[nH]2,6,24.7611,6.38,H
c12c(cccc1)cc[nH]2,5,23.9924,7.03,H
c12c(cccc1)cc[nH]2,4,23.6949,7.03,H
c12c(cccc1)cc[nH]2,3,23.8849,7.03,H
C(=S)=NC,3,28.332,3.325,H
C(=O)/C=C/C,0,21.768,9.497,H
C(=O)/C=C/C,2,25.2461,6.145,H
C(=O)/C=C/C,3,24.0582,6.88,H
C(=O)/C=C/C,4,29.6128,2.032,H
C(=C(\C)/C(C)C)\C,6,30.1361,1.56,H
C(=C(\C)/C(C)C)\C,0,26.1725,5.222,H
C(=C(\C)/C(C)C)\C,3,29.4723,2.221,H
C(=C(\C)/C(C)C)\C,4,30.6868,0.978,H
C(=C(\C)/C(C)C)\C,2,30.204,1.56,H
O1C(=O)C=CC1=O,3,24.2823,7.048,H
C1OCC=C1,0,26.7752,4.63,H
C1OCC=C1,3,25.3285,5.89,H
c1ccccn1,0,22.6264,8.593,H
c1ccccn1,1,23.8051,7.231,H
c1ccccn1,2,23.3803,7.617,H
c1c(nccn1)C,0,22.7272,8.568,H
c1c(nccn1)C,4,22.8647,8.376,H
c1c(nccn1)C,3,22.7393,8.453,H
c1c(nccn1)C,6,29.0951,2.566,H
C1CC(=C)C1,3,26.67,4.685,H
C1CC(=C)C1,1,28.7368,2.685,H
C1CC(=C)C1,0,29.1442,1.928,H
C1COCOC1,3,26.8199,4.853,H
C1COCOC1,1,27.8771,3.912,H
C1COCOC1,0,29.7371,1.78,H
C(C)(OC)OC,0,27.2834,4.568,H
C(C)(OC)OC,1,30.659,1.281,H
C(C)(OC)OC,3,28.5566,3.309,H
c1ccc(s1)C,2,24.5101,6.754,H
c1ccc(s1)C,1,24.4174,6.89,H
c1ccc(s1)C,0,24.0588,7.07,H
c1ccc(s1)C,5,29.1109,2.495,H
C(C#N)C#N,0,27.8025,3.604,H
C1COC(=O)O1,0,27.2351,4.541,H
C(C)SCC,3,28.9388,2.547,H
C(C)SCC,4,30.3276,1.256,H
C(=C\C#N)/C#N,0,24.8414,6.295,H
[C@H]1(CC(=O)O1)C,0,26.9807,4.704,H
[C@H]1(CC(=O)O1)C,5,30.1042,1.563,H
N(C)(C)C#N,1,28.8523,2.853,H
C=CC[N]C=S,1,25.1572,5.83,H
C=CC[N]C=S,2,27.2977,4.147,H
C1C(=O)O[C]1[CH2],0,27.6117,3.897,H
CC(C)(C)C=O,2,30.3524,1.08,H
CC(C)(C)C=O,4,21.7152,9.48,H
C=C(C=C)C,0,26.2036,4.99,H
C=C(C=C)C,2,24.5596,6.44,H
C=C(C=C)C,4,29.7191,1.85,H
C(=O)(C#N)OCC,5,27.3264,4.412,H
C(=O)(C#N)OCC,6,30.3392,1.394,H
[C@H]12[C@@H]3C[C@@H]4[C@H]1[C@@H]4[C@H]23,1,30.2659,1.478,H
[C@H]12[C@@H]3C[C@@H]4[C@H]1[C@@H]4[C@H]23,0,30.3816,1.345,H
